puzzleDate,difficulty,solutionGrid,staticCells
6/10/2026,Easy,"[
 [""R"", ""O"", ""D"", ""E"", ""O""],
 [""E"", null, ""I"", null, ""V""],
 [""L"", ""U"", ""C"", ""I"", ""A""],
 [""E"", null, ""K"", null, ""T""],
 [""T"", ""H"", ""E"", ""M"", ""E""]
    ]","[
      [true, false, true, true, true],
      [false, null, false, null, false],
      [true, false, true, false, true],
      [true, null, false, null, true],
      [true, false, true, false, true]
    ]"
6/10/2026,Medium,"[
 [""P"", ""O"", ""L"", ""L"", ""Y""],
 [""U"", null, ""I"", null, ""E""],
 [""R"", ""U"", ""M"", ""B"", ""A""],
 [""S"", null, ""E"", null, ""R""],
 [""E"", ""P"", ""S"", ""O"", ""N""]
    ]","[
      [true, false, false, false, true],
      [false, null, false, null, true],
      [false, false, true, false, false],
      [true, null, false, null, true],
      [true, false, false, true, true]
    ]"
6/10/2026,Hard,"[
 [""A"", ""L"", ""O"", ""F"", ""T""],
 [""L"", null, ""F"", null, ""E""],
 [""D"", ""U"", ""F"", ""F"", ""S""],
 [""E"", null, ""E"", null, ""T""],
 [""R"", ""I"", ""N"", ""K"", ""S""]
    ]","[
      [true, true, true, false, false],
      [false, null, false, null, false],
      [false, true, false, true, true],
      [false, null, false, null, false],
      [false, false, false, true, true]
    ]"
6/11/2026,Easy,"[
 [""F"", ""A"", ""X"", ""E"", ""S""],
 [""U"", null, ""E"", null, ""P""],
 [""S"", ""A"", ""N"", ""T"", ""A""],
 [""E"", null, ""O"", null, ""C""],
 [""D"", ""O"", ""N"", ""E"", ""E""]
    ]","[
      [true, true, false, true, true],
      [false, null, true, null, false],
      [false, false, true, true, false],
      [false, null, true, null, true],
      [true, true, false, false, true]
    ]"
6/11/2026,Medium,"[
 [""A"", ""V"", ""O"", ""W"", ""S""],
 [""D"", null, ""I"", null, ""U""],
 [""M"", ""A"", ""N"", ""E"", ""D""],
 [""I"", null, ""K"", null, ""S""],
 [""T"", ""E"", ""S"", ""T"", ""Y""]
    ]","[
      [true, false, false, true, true],
      [false, null, false, null, false],
      [true, false, true, false, false],
      [false, null, false, null, false],
      [true, true, true, false, true]
    ]"
6/11/2026,Hard,"[
 [""D"", ""A"", ""R"", ""T"", ""S""],
 [""R"", null, ""A"", null, ""C""],
 [""I"", ""N"", ""T"", ""E"", ""R""],
 [""P"", null, ""E"", null, ""I""],
 [""S"", ""T"", ""R"", ""A"", ""P""]
    ]","[
      [true, true, true, false, false],
      [true, null, true, null, false],
      [true, false, false, false, false],
      [true, null, false, null, true],
      [true, false, false, true, false]
    ]"
6/12/2026,Easy,"[
 [""L"", ""O"", ""V"", ""E"", ""S""],
 [""I"", null, ""I"", null, ""H""],
 [""M"", ""A"", ""N"", ""T"", ""A""],
 [""E"", null, ""E"", null, ""L""],
 [""S"", ""I"", ""S"", ""A"", ""L""]
    ]","[
      [true, true, true, false, true],
      [false, null, false, null, false],
      [false, true, true, true, false],
      [true, null, false, null, false],
      [true, false, false, true, true]
    ]"
6/12/2026,Medium,"[
 [""J"", ""A"", ""S"", ""O"", ""N""],
 [""A"", null, ""K"", null, ""A""],
 [""G"", ""A"", ""U"", ""N"", ""T""],
 [""G"", null, ""N"", null, ""A""],
 [""Y"", ""O"", ""K"", ""E"", ""L""]
    ]","[
      [true, false, true, false, true],
      [true, null, false, null, true],
      [false, false, true, false, false],
      [false, null, false, null, true],
      [true, false, false, false, true]
    ]"
6/12/2026,Hard,"[
 [""H"", ""O"", ""K"", ""U"", ""M""],
 [""I"", null, ""Y"", null, ""I""],
 [""D"", ""A"", ""R"", ""E"", ""D""],
 [""E"", null, ""I"", null, ""D""],
 [""R"", ""E"", ""E"", ""D"", ""Y""]
    ]","[
      [false, false, false, true, true],
      [true, null, false, null, false],
      [false, false, false, false, true],
      [true, null, false, null, true],
      [true, false, false, false, true]
    ]"
6/13/2026,Easy,"[
 [""G"", ""L"", ""E"", ""N"", ""N""],
 [""R"", null, ""I"", null, ""E""],
 [""A"", ""I"", ""D"", ""E"", ""S""],
 [""D"", null, ""E"", null, ""T""],
 [""S"", ""U"", ""R"", ""D"", ""S""]
    ]","[
      [true, false, false, false, true],
      [false, null, false, null, false],
      [true, true, true, false, false],
      [true, null, true, null, true],
      [true, false, false, true, true]
    ]"
6/13/2026,Medium,"[
 [""M"", ""A"", ""F"", ""I"", ""A""],
 [""U"", null, ""R"", null, ""D""],
 [""S"", ""T"", ""A"", ""K"", ""E""],
 [""H"", null, ""N"", null, ""P""],
 [""Y"", ""A"", ""C"", ""H"", ""T""]
    ]","[
      [true, true, true, false, true],
      [true, null, false, null, false],
      [false, false, true, false, false],
      [true, null, false, null, false],
      [true, false, true, true, true]
    ]"
6/13/2026,Hard,"[
 [""V"", ""A"", ""G"", ""U"", ""E""],
 [""I"", null, ""A"", null, ""Y""],
 [""S"", ""A"", ""B"", ""L"", ""E""],
 [""I"", null, ""L"", null, ""R""],
 [""T"", ""R"", ""E"", ""E"", ""S""]
    ]","[
      [true, false, false, true, true],
      [true, null, false, null, false],
      [false, true, false, false, false],
      [true, null, false, null, true],
      [true, false, false, false, true]
    ]"
6/14/2026,Easy,"[
 [""V"", ""I"", ""T"", ""A"", ""E""],
 [""E"", null, ""O"", null, ""T""],
 [""G"", ""L"", ""Y"", ""P"", ""H""],
 [""A"", null, ""E"", null, ""O""],
 [""N"", ""O"", ""D"", ""E"", ""S""]
    ]","[
      [true, false, false, false, true],
      [true, null, true, null, true],
      [true, false, true, false, false],
      [false, null, true, null, false],
      [true, true, true, false, true]
    ]"
6/14/2026,Medium,"[
 [""P"", ""A"", ""V"", ""E"", ""D""],
 [""A"", null, ""A"", null, ""O""],
 [""S"", ""Y"", ""N"", ""O"", ""D""],
 [""T"", null, ""E"", null, ""G""],
 [""A"", ""D"", ""D"", ""L"", ""E""]
    ]","[
      [true, false, true, true, true],
      [true, null, false, null, true],
      [false, false, true, false, true],
      [false, null, true, null, false],
      [true, true, false, false, true]
    ]"
6/14/2026,Hard,"[
 [""T"", ""I"", ""T"", ""T"", ""Y""],
 [""O"", null, ""A"", null, ""U""],
 [""A"", ""R"", ""M"", ""O"", ""R""],
 [""D"", null, ""E"", null, ""T""],
 [""Y"", ""E"", ""S"", ""E"", ""S""]
    ]","[
      [false, true, true, false, true],
      [true, null, false, null, false],
      [true, false, true, false, false],
      [false, null, true, null, true],
      [true, false, false, false, false]
    ]"
6/15/2026,Easy,"[
 [""R"", ""O"", ""A"", ""C"", ""H""],
 [""E"", null, ""L"", null, ""E""],
 [""A"", ""C"", ""T"", ""I"", ""N""],
 [""M"", null, ""O"", null, ""R""],
 [""S"", ""I"", ""S"", ""S"", ""Y""]
    ]","[
      [true, false, true, false, true],
      [true, null, false, null, false],
      [true, true, true, false, false],
      [false, null, true, null, false],
      [true, true, true, false, true]
    ]"
6/15/2026,Medium,"[
 [""S"", ""T"", ""A"", ""G"", ""S""],
 [""T"", null, ""X"", null, ""T""],
 [""A"", ""L"", ""O"", ""N"", ""E""],
 [""P"", null, ""N"", null, ""M""],
 [""H"", ""O"", ""S"", ""T"", ""S""]
    ]","[
      [true, true, true, false, true],
      [true, null, true, null, false],
      [false, false, true, false, true],
      [false, null, false, null, false],
      [true, false, false, true, true]
    ]"
6/15/2026,Hard,"[
 [""B"", ""U"", ""T"", ""C"", ""H""],
 [""E"", null, ""H"", null, ""O""],
 [""B"", ""R"", ""A"", ""V"", ""A""],
 [""O"", null, ""W"", null, ""R""],
 [""P"", ""O"", ""S"", ""E"", ""D""]
    ]","[
      [true, true, true, true, true],
      [false, null, false, null, false],
      [false, false, false, false, false],
      [false, null, true, null, true],
      [false, false, false, false, true]
    ]"
