puzzleDate,difficulty,solutionGrid,staticCells,words,definitions
8/22/2026,Easy,"[
 [""S"", ""P"", ""U"", ""N"", ""K""],
 [""U"", null, ""N"", null, ""A""],
 [""L"", ""E"", ""Z"", ""Z"", ""Y""],
 [""L"", null, ""I"", null, ""A""],
 [""Y"", ""A"", ""P"", ""O"", ""K""]
    ]","[
      [true, true, true, false, true],
      [false, null, false, null, true],
      [false, false, true, true, true],
      [false, null, false, null, true],
      [true, true, true, false, true]
    ]","[""SPUNK"",""LEZZY"",""YAPOK"",""SULLY"",""UNZIP"",""KAYAK""]","[{""word"":""SPUNK"",""pos"":""noun"",""def"":""A spark.""},{""word"":""LEZZY"",""pos"":""noun"",""def"":""A lesbian.""},{""word"":""YAPOK"",""pos"":""noun"",""def"":""The water opossum (Chironectes minimus)""},{""word"":""SULLY"",""pos"":""noun"",""def"":""A blemish.""},{""word"":""UNZIP"",""pos"":""verb"",""def"":""To open something using a zipper.""},{""word"":""KAYAK"",""pos"":""noun"",""def"":""A type of small boat, covered over by a surface deck, powered by the occupant or occupants using a double-bladed paddle in a sitting position, from a hole in the surface deck""}]"
8/22/2026,Medium,"[
 [""S"", ""P"", ""E"", ""R"", ""M""],
 [""P"", null, ""L"", null, ""E""],
 [""L"", ""A"", ""I"", ""R"", ""D""],
 [""I"", null, ""D"", null, ""I""],
 [""T"", ""H"", ""E"", ""C"", ""A""]
    ]","[
      [true, true, true, false, true],
      [false, null, false, null, false],
      [true, false, true, true, false],
      [true, null, false, null, false],
      [true, false, true, true, true]
    ]","[""SPERM"",""LAIRD"",""THECA"",""SPLIT"",""ELIDE"",""MEDIA""]","[{""word"":""SPERM"",""pos"":""noun"",""def"":""The reproductive cell or gamete of the male; a spermatozoon.""},{""word"":""LAIRD"",""pos"":""noun"",""def"":""The owner of a Scottish estate; a member of the landed gentry, a landowner.""},{""word"":""THECA"",""pos"":""noun"",""def"":""Any external case or sheath.""},{""word"":""SPLIT"",""pos"":""noun"",""def"":""A crack or longitudinal fissure.""},{""word"":""ELIDE"",""pos"":""verb"",""def"":""To leave out or omit (something).""},{""word"":""MEDIA"",""pos"":""noun"",""def"":""The middle layer of the wall of a blood vessel or lymph vessel which is composed of connective and muscular tissue.""}]"
8/22/2026,Hard,"[
 [""M"", ""E"", ""T"", ""E"", ""R""],
 [""O"", null, ""R"", null, ""A""],
 [""T"", ""R"", ""I"", ""A"", ""D""],
 [""O"", null, ""E"", null, ""I""],
 [""R"", ""O"", ""D"", ""E"", ""O""]
    ]","[
      [true, false, false, false, false],
      [false, null, false, null, true],
      [true, true, false, true, false],
      [true, null, true, null, true],
      [false, false, false, true, true]
    ]","[""METER"",""TRIAD"",""RODEO"",""MOTOR"",""TRIED"",""RADIO""]","[{""word"":""METER"",""pos"":""noun"",""def"":""(always meter) A device that measures things.""},{""word"":""TRIAD"",""pos"":""noun"",""def"":""A grouping of three.""},{""word"":""RODEO"",""pos"":""noun"",""def"":""A gathering of cattle to be branded.""},{""word"":""MOTOR"",""pos"":""noun"",""def"":""A machine or device that converts other energy forms into mechanical energy, or imparts motion.""},{""word"":""TRIED"",""pos"":""adjective"",""def"":""Tested, hence, proven to be firm or reliable.""},{""word"":""RADIO"",""pos"":""noun"",""def"":""The technology that allows for the transmission of sound or other signals by modulation of electromagnetic waves.""}]"
8/23/2026,Easy,"[
 [""B"", ""L"", ""O"", ""C"", ""K""],
 [""A"", null, ""N"", null, ""A""],
 [""T"", ""W"", ""I"", ""R"", ""P""],
 [""T"", null, ""O"", null, ""P""],
 [""Y"", ""E"", ""N"", ""T"", ""A""]
    ]","[
      [true, false, false, false, true],
      [true, null, false, null, true],
      [false, false, true, true, true],
      [false, null, true, null, false],
      [true, true, false, true, true]
    ]","[""BLOCK"",""TWIRP"",""YENTA"",""BATTY"",""ONION"",""KAPPA""]","[{""word"":""BLOCK"",""pos"":""noun"",""def"":""A substantial, often approximately cuboid, piece of any substance.""},{""word"":""TWIRP"",""pos"":""interjection"",""def"":""An imitation of the sound of a bird or a horn.""},{""word"":""YENTA"",""pos"":""noun"",""def"":""A woman who meddles in the business of others; a busybody; a female gossipmonger.""},{""word"":""BATTY"",""pos"":""adjective"",""def"":""Mad, crazy, silly.""},{""word"":""ONION"",""pos"":""noun"",""def"":""A monocotyledonous plant (Allium cepa), allied to garlic, used as vegetable and spice.""},{""word"":""KAPPA"",""pos"":""noun"",""def"":""The tenth letter of the Greek alphabet.""}]"
8/23/2026,Medium,"[
 [""T"", ""I"", ""A"", ""R"", ""A""],
 [""R"", null, ""B"", null, ""M""],
 [""A"", ""G"", ""A"", ""M"", ""A""],
 [""M"", null, ""T"", null, ""Z""],
 [""P"", ""L"", ""E"", ""B"", ""E""]
    ]","[
      [true, false, false, false, true],
      [true, null, true, null, false],
      [false, false, true, true, true],
      [false, null, true, null, true],
      [true, true, false, false, true]
    ]","[""TIARA"",""AGAMA"",""PLEBE"",""TRAMP"",""ABATE"",""AMAZE""]","[{""word"":""TIARA"",""pos"":""noun"",""def"":""The papal crown.""},{""word"":""AGAMA"",""pos"":""noun"",""def"":""Any of the various small, long-tailed lizards of the subfamily Agaminae of family Agamidae, especially in genera Acanthocercus, Agama, Dendragama, Laudakia, Phrynocephalus, Trapelus and Xenagama.""},{""word"":""PLEBE"",""pos"":""noun"",""def"":""(usually in the plural) A plebeian, a member of the lower class of Roman citizens.""},{""word"":""TRAMP"",""pos"":""noun"",""def"":""(sometimes derogatory) A homeless person; a vagabond.""},{""word"":""ABATE"",""pos"":""noun"",""def"":""Abatement.""},{""word"":""AMAZE"",""pos"":""noun"",""def"":""Amazement, astonishment.""}]"
8/23/2026,Hard,"[
 [""S"", ""T"", ""O"", ""K"", ""E""],
 [""P"", null, ""U"", null, ""N""],
 [""E"", ""R"", ""G"", ""O"", ""T""],
 [""N"", null, ""H"", null, ""R""],
 [""T"", ""A"", ""T"", ""T"", ""Y""]
    ]","[
      [false, false, true, true, false],
      [true, null, false, null, false],
      [false, true, false, false, true],
      [false, null, true, null, true],
      [true, true, false, true, false]
    ]","[""STOKE"",""ERGOT"",""TATTY"",""SPENT"",""OUGHT"",""ENTRY""]","[{""word"":""STOKE"",""pos"":""verb"",""def"":""To poke, pierce, thrust.""},{""word"":""ERGOT"",""pos"":""noun"",""def"":""Any fungus in the genus Claviceps which are parasitic on grasses.""},{""word"":""TATTY"",""pos"":""noun"",""def"":""Potato""},{""word"":""SPENT"",""pos"":""verb"",""def"":""To pay out (money).""},{""word"":""OUGHT"",""pos"":""noun"",""def"":""Property; possession""},{""word"":""ENTRY"",""pos"":""noun"",""def"":""The act of entering.""}]"
8/24/2026,Easy,"[
 [""C"", ""U"", ""R"", ""R"", ""Y""],
 [""R"", null, ""O"", null, ""I""],
 [""A"", ""N"", ""G"", ""L"", ""E""],
 [""F"", null, ""E"", null, ""L""],
 [""T"", ""I"", ""R"", ""E"", ""D""]
    ]","[
      [true, true, true, false, true],
      [false, null, true, null, false],
      [false, true, true, false, false],
      [true, null, true, null, false],
      [true, false, true, false, true]
    ]","[""CURRY"",""ANGLE"",""TIRED"",""CRAFT"",""ROGER"",""YIELD""]","[{""word"":""CURRY"",""pos"":""noun"",""def"":""One of a family of dishes originating from South Asian cuisine, flavoured by a spiced sauce.""},{""word"":""ANGLE"",""pos"":""noun"",""def"":""A figure formed by two rays which start from a common point (a plane angle) or by three planes that intersect (a solid angle).""},{""word"":""TIRED"",""pos"":""verb"",""def"":""To become sleepy or weary.""},{""word"":""CRAFT"",""pos"":""noun"",""def"":""Strength; power; might; force .""},{""word"":""ROGER"",""pos"":""interjection"",""def"":""(radio telecommunications) Received (used in radio communications to acknowledge that a message has been received and understood)""},{""word"":""YIELD"",""pos"":""verb"",""def"":""To pay, give in payment; repay, recompense; reward; requite.""}]"
8/24/2026,Medium,"[
 [""G"", ""R"", ""A"", ""I"", ""N""],
 [""U"", null, ""R"", null, ""O""],
 [""S"", ""L"", ""E"", ""P"", ""T""],
 [""T"", null, ""N"", null, ""C""],
 [""O"", ""R"", ""A"", ""C"", ""H""]
    ]","[
      [true, true, false, false, true],
      [false, null, false, null, false],
      [true, true, true, false, false],
      [true, null, true, null, true],
      [true, false, false, true, true]
    ]","[""GRAIN"",""SLEPT"",""ORACH"",""GUSTO"",""ARENA"",""NOTCH""]","[{""word"":""GRAIN"",""pos"":""noun"",""def"":""The harvested seeds of various grass food crops eg: wheat, corn, barley.""},{""word"":""SLEPT"",""pos"":""verb"",""def"":""To rest in a state of reduced consciousness.""},{""word"":""ORACH"",""pos"":""noun"",""def"":""The saltbush: any of several plants, of the genus Atriplex, especially Atriplex hortensis or Atriplex patula, found in dry habitats, that have edible leaves resembling spinach.""},{""word"":""GUSTO"",""pos"":""noun"",""def"":""Enthusiasm; enjoyment, vigor.""},{""word"":""ARENA"",""pos"":""noun"",""def"":""An enclosed area, often outdoor, for the presentation of sporting events (sports arena) or other spectacular events; earthen area, often oval, specifically for rodeos (North America) or circular area for bullfights (especially Hispanic America).""},{""word"":""NOTCH"",""pos"":""noun"",""def"":""A V-shaped cut.""}]"
8/24/2026,Hard,"[
 [""G"", ""O"", ""D"", ""L"", ""Y""],
 [""U"", null, ""I"", null, ""E""],
 [""A"", ""P"", ""N"", ""E"", ""A""],
 [""R"", null, ""G"", null, ""R""],
 [""D"", ""R"", ""O"", ""W"", ""N""]
    ]","[
      [false, true, false, false, false],
      [false, null, false, null, true],
      [false, true, true, false, true],
      [true, null, false, null, false],
      [true, false, false, true, true]
    ]","[""GODLY"",""APNEA"",""DROWN"",""GUARD"",""DINGO"",""YEARN""]","[{""word"":""GODLY"",""pos"":""adjective"",""def"":""Of or pertaining to a god""},{""word"":""APNEA"",""pos"":""noun"",""def"":""The cessation of breathing.""},{""word"":""DROWN"",""pos"":""verb"",""def"":""To die from suffocation while immersed in water or other fluid.""},{""word"":""GUARD"",""pos"":""noun"",""def"":""A person who, or thing that, protects or watches over something.""},{""word"":""DINGO"",""pos"":""noun"",""def"":""Canis lupus dingo, a wild dog native to Australia.""},{""word"":""YEARN"",""pos"":""verb"",""def"":""To long, have a strong desire (for something).""}]"
8/25/2026,Easy,"[
 [""P"", ""I"", ""P"", ""E"", ""R""],
 [""O"", null, ""E"", null, ""E""],
 [""U"", ""N"", ""C"", ""A"", ""P""],
 [""C"", null, ""A"", null, ""A""],
 [""H"", ""A"", ""N"", ""D"", ""Y""]
    ]","[
      [true, true, true, false, true],
      [true, null, false, null, true],
      [true, false, true, false, true],
      [true, null, true, null, true],
      [true, false, false, false, true]
    ]","[""PIPER"",""UNCAP"",""HANDY"",""POUCH"",""PECAN"",""REPAY""]","[{""word"":""PIPER"",""pos"":""noun"",""def"":""A musician who plays a pipe.""},{""word"":""UNCAP"",""pos"":""verb"",""def"":""To remove a cap or cover from.""},{""word"":""HANDY"",""pos"":""adjective"",""def"":""Easy to use, useful.""},{""word"":""POUCH"",""pos"":""noun"",""def"":""A small bag usually closed with a drawstring.""},{""word"":""PECAN"",""pos"":""noun"",""def"":""A deciduous tree, Carya illinoinensis, of the central and southern United States, having deeply furrowed bark, pinnately compound leaves, and edible nuts.""},{""word"":""REPAY"",""pos"":""verb"",""def"":""To pay back.""}]"
8/25/2026,Medium,"[
 [""V"", ""I"", ""R"", ""A"", ""L""],
 [""I"", null, ""E"", null, ""E""],
 [""S"", ""T"", ""R"", ""I"", ""A""],
 [""O"", null, ""U"", null, ""S""],
 [""R"", ""A"", ""N"", ""C"", ""H""]
    ]","[
      [true, false, false, true, true],
      [true, null, true, null, true],
      [false, false, true, true, false],
      [true, null, true, null, false],
      [true, false, false, false, true]
    ]","[""VIRAL"",""STRIA"",""RANCH"",""VISOR"",""RERUN"",""LEASH""]","[{""word"":""VIRAL"",""pos"":""noun"",""def"":""A video, image or text spread by \""word of mouth\"" on the internet or by e-mail for humorous, political or marketing purposes.""},{""word"":""STRIA"",""pos"":""noun"",""def"":""A stripe, usually one of a set of parallel stripes.""},{""word"":""RANCH"",""pos"":""noun"",""def"":""A large plot of land used for raising cattle, sheep or other livestock.""},{""word"":""VISOR"",""pos"":""noun"",""def"":""A part of a helmet, arranged so as to lift or open, and so show the face. The openings for seeing and breathing are generally in it.""},{""word"":""RERUN"",""pos"":""noun"",""def"":""A television program shown after its initial presentation — particularly many weeks after its initial presentation; a repeat.""},{""word"":""LEASH"",""pos"":""noun"",""def"":""A strap, cord or rope with which to restrain an animal, often a dog.""}]"
8/25/2026,Hard,"[
 [""M"", ""I"", ""C"", ""R"", ""O""],
 [""A"", null, ""A"", null, ""V""],
 [""C"", ""O"", ""C"", ""O"", ""A""],
 [""R"", null, ""T"", null, ""T""],
 [""O"", ""V"", ""I"", ""N"", ""E""]
    ]","[
      [true, false, false, false, true],
      [false, null, true, null, true],
      [false, true, true, false, true],
      [true, null, false, null, false],
      [false, true, false, false, true]
    ]","[""MICRO"",""COCOA"",""OVINE"",""MACRO"",""CACTI"",""OVATE""]","[{""word"":""MICRO"",""pos"":""noun"",""def"":""(gaming slang) micromanagement""},{""word"":""COCOA"",""pos"":""noun"",""def"":""The dried and partially fermented fatty seeds of the cacao tree from which chocolate is made.""},{""word"":""OVINE"",""pos"":""noun"",""def"":""A sheep.""},{""word"":""MACRO"",""pos"":""adjective"",""def"":""Very large in scope or scale.""},{""word"":""CACTI"",""pos"":""noun"",""def"":""Any member of the family Cactaceae, a family of flowering New World succulent plants suited to a hot, semi-desert climate.""},{""word"":""OVATE"",""pos"":""adjective"",""def"":""Shaped like an egg.""}]"
8/26/2026,Easy,"[
 [""L"", ""O"", ""Y"", ""A"", ""L""],
 [""E"", null, ""O"", null, ""A""],
 [""A"", ""D"", ""U"", ""S"", ""T""],
 [""S"", null, ""N"", null, ""H""],
 [""E"", ""A"", ""G"", ""L"", ""E""]
    ]","[
      [true, true, false, false, true],
      [true, null, true, null, true],
      [false, false, true, true, true],
      [false, null, false, null, false],
      [true, true, false, false, true]
    ]","[""LOYAL"",""ADUST"",""EAGLE"",""LEASE"",""YOUNG"",""LATHE""]","[{""word"":""LOYAL"",""pos"":""adjective"",""def"":""Having or demonstrating undivided and constant support for someone or something.""},{""word"":""ADUST"",""pos"":""adjective"",""def"":""(usually postpositive, of a bodily humour) Abnormally dark or over-concentrated; associated with various states of discomfort or illness (specifically being too hot or dry).""},{""word"":""EAGLE"",""pos"":""noun"",""def"":""Any of several large carnivorous and carrion-eating birds in the family Accipitridae, having a powerful hooked bill and keen vision.""},{""word"":""LEASE"",""pos"":""verb"",""def"":""(chiefly dialectal) To gather.""},{""word"":""YOUNG"",""pos"":""noun"",""def"":""People who are young; young people, collectively; youth.""},{""word"":""LATHE"",""pos"":""verb"",""def"":""To invite; bid; ask.""}]"
